Date,Open,High,Low,Close,Adj Close,Volume
01-11-04,2024.900024,2039.699951,1986,1998.449951,1874.244751,7740
08-11-04,2000,2019,1960,1988.099976,1867.311523,10323
15-11-04,1988.099976,2150,1988.099976,2051.550049,1926.90625,13581
22-11-04,2045,2095,2022,2040.25,1916.293457,8323
29-11-04,2040,2330,2031,2273.399902,2135.277832,42961
06-12-04,2325,2440,2272.550049,2287.949951,2148.944092,26437
13-12-04,2288,2822,2288,2609.300049,2450.769531,41822
20-12-04,2650,2764.149902,2562.199951,2562.199951,2406.531494,33845
27-12-04,2525,2575,2401.649902,2421.449951,2274.33374,26580
03-01-05,2450,2599,2422.550049,2498.949951,2347.125,25424
10-01-05,2549,2660,2440,2452.649902,2303.637451,20411
17-01-05,2490,2499,2365,2398.199951,2252.49585,9021
24-01-05,2366.5,2405,2295,2389.800049,2244.606445,9339
31-01-05,2380,2643.899902,2380,2514.699951,2361.916992,16021
07-02-05,2570,2800,2532,2719.550049,2554.322266,42406
14-02-05,2770,2819.949951,2574,2685.350098,2522.199463,30438
21-02-05,2670,2750,2625,2696.050049,2532.248779,18051
28-02-05,2685,3150,2621.050049,3072.600098,2885.922119,84855
07-03-05,3150,3185,2901.100098,2986.600098,2818.97876,38550
14-03-05,3050,3125,2875.199951,2945.399902,2780.091064,27066
21-03-05,3025,3025,2905,2927.350098,2763.054199,18639
28-03-05,2997.550049,2997.550049,2753.5,2912.75,2749.273438,18716
04-04-05,2924,2949.800049,2745,2759.800049,2604.907471,16753
11-04-05,2760,2801,2691.050049,2704,2552.239014,7654
18-04-05,2704,2751,2645,2710.199951,2558.091309,8062
25-04-05,2785,2798.5,2602,2649.949951,2501.223877,4545
02-05-05,2600,2630,2470,2506.899902,2366.201172,7288
09-05-05,2538.800049,2755,2511,2546.5,2403.577881,6053
16-05-05,2559,2598.850098,2500,2512.649902,2371.628662,7673
23-05-05,2530,2569,2476,2522.699951,2381.114258,4918
30-05-05,2461,2550,2461,2491.100098,2351.288818,4453
06-06-05,2519.899902,2553.949951,2499.850098,2509.5,2368.655273,4037
13-06-05,2515,2537.800049,2444,2455.899902,2318.063232,5552
20-06-05,2425,2569.899902,2420,2517.949951,2376.631592,6284
27-06-05,2520.050049,2599.899902,2422,2451.5,2313.910156,5226
04-07-05,2434,2560,2400,2442.5,2305.416016,5640
11-07-05,2445.050049,2469,2351.100098,2392.350098,2258.081543,5843
18-07-05,2400,2455,2350.100098,2396.350098,2261.855957,5141
25-07-05,2479,2479,2330,2336.5,2205.365723,3398
01-08-05,2340,2380,2270,2300.449951,2171.338623,11502
08-08-05,2321,2808,2270.050049,2603.600098,2460.633789,39451
15-08-05,2603.600098,2851,2603.600098,2819.050049,2664.253174,24491
